"concept_id","concept_name","concept_code","vocabulary_id","ingredient"
586569,"adalimumab 100 MG/ML Injection Box of 2","OMOP3137348","RxNorm Extension","adalimumab"
587186,"0.4 ML adalimumab 100 MG/ML Injection Box of 4","OMOP3135392","RxNorm Extension","adalimumab"
587360,"adalimumab 100 MG/ML Injection","OMOP3138209","RxNorm Extension","adalimumab"
587859,"0.4 ML adalimumab 100 MG/ML Injection Box of 2","OMOP3136775","RxNorm Extension","adalimumab"
589484,"adalimumab 100 MG/ML Injection Box of 6","OMOP3136399","RxNorm Extension","adalimumab"
589518,"adalimumab 100 MG/ML Injection Box of 4","OMOP3135634","RxNorm Extension","adalimumab"
590318,"0.4 ML adalimumab 100 MG/ML Injection Box of 6","OMOP3137743","RxNorm Extension","adalimumab"
590421,"0.4 ML adalimumab 100 MG/ML Injection","OMOP3136003","RxNorm Extension","adalimumab"
783918,"adalimumab 50 MG/ML Injectable Solution [Hulio] Box of 6","OMOP4831746","RxNorm Extension","adalimumab"
783919,"adalimumab 50 MG/ML Injectable Solution [Imraldi] Box of 6","OMOP4831747","RxNorm Extension","adalimumab"
783920,"adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 6","OMOP4831748","RxNorm Extension","adalimumab"
784096,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hulio] Box of 6","OMOP4831923","RxNorm Extension","adalimumab"
784097,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Hulio] Box of 6 by Mylan","OMOP4831924","RxNorm Extension","adalimumab"
784098,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Imraldi] Box of 6","OMOP4831925","RxNorm Extension","adalimumab"
784099,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Imraldi] Box of 6 by Biogen","OMOP4831926","RxNorm Extension","adalimumab"
784100,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 6","OMOP4831927","RxNorm Extension","adalimumab"
784101,"0.8 ML adalimumab 50 MG/ML Injectable Solution [Amgevita] Box of 6 by Amgen","OMOP4831928","RxNorm Extension","adalimumab"
995113,"adalimumab Prefilled Syringe [Amgevita]","OMOP4821625","RxNorm Extension","adalimumab"
995115,"adalimumab Prefilled Syringe [Imraldi]","OMOP4821626","RxNorm Extension","adalimumab"
995116,"adalimumab Prefilled Syringe [Hyrimoz]","OMOP4821627","RxNorm Extension","adalimumab"
995117,"adalimumab Prefilled Syringe [Hulio]","OMOP4821628","RxNorm Extension","adalimumab"
995118,"adalimumab 50 MG/ML [Amgevita]","OMOP4821629","RxNorm Extension","adalimumab"
995119,"adalimumab 50 MG/ML [Imraldi]","OMOP4821630","RxNorm Extension","adalimumab"
995120,"adalimumab 50 MG/ML [Hyrimoz]","OMOP4821631","RxNorm Extension","adalimumab"
995121,"adalimumab 50 MG/ML [Hulio]","OMOP4821632","RxNorm Extension","adalimumab"
995122,"adalimumab 50 MG/ML Prefilled Syringe [Amgevita]","OMOP4821633","RxNorm Extension","adalimumab"
995123,"adalimumab 50 MG/ML Prefilled Syringe [Imraldi]","OMOP4821634","RxNorm Extension","adalimumab"
995124,"adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz]","OMOP4821635","RxNorm Extension","adalimumab"
995125,"adalimumab 50 MG/ML Prefilled Syringe [Hulio]","OMOP4821636","RxNorm Extension","adalimumab"
995276,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by 1az Pharm","OMOP4821785","RxNorm Extension","adalimumab"
995277,"0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira] by Nmg","OMOP4821786","RxNorm Extension","adalimumab"
995291,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita]","OMOP4821799","RxNorm Extension","adalimumab"
995292,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Amgevita] by Amgen","OMOP4821800","RxNorm Extension","adalimumab"
995293,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi]","OMOP4821801","RxNorm Extension","adalimumab"
995294,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Imraldi] by Biogen","OMOP4821802","RxNorm Extension","adalimumab"
995295,"0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Hyrimoz]","OMOP4821803","RxNorm Extension","adalimumab"
