concept_id,concept_code,concept_name,vocabulary_id,category,variable,domain
193782,46177005,End-stage renal disease,SM,ckd,ckd,diagnosis
196991,236425005,Chronic renal impairment,SM,ckd,ckd,diagnosis
198185,90688005,Chronic renal failure,SM,ckd,ckd,diagnosis
443597,433144002,Chronic kidney disease stage 3,SM,ckd,ckd,diagnosis
443601,431856006,Chronic kidney disease stage 2,SM,ckd,ckd,diagnosis
443611,433146000,Chronic kidney disease stage 5,SM,ckd,ckd,diagnosis
443612,431857002,Chronic kidney disease stage 4,SM,ckd,ckd,diagnosis
443614,431855005,Chronic kidney disease stage 1,SM,ckd,ckd,diagnosis
443961,49708008,Anemia of chronic renal failure,SM,ckd,ckd,diagnosis
725440,N18.30,"Chronic kidney disease, stage 3 unspecified",10,ckd,ckd,diagnosis
725440,N1830,"Chronic kidney disease, stage 3 unspecified",10,ckd,ckd,diagnosis
725441,N18.31,"Chronic kidney disease, stage 3a",10,ckd,ckd,diagnosis
725441,N1831,"Chronic kidney disease, stage 3a",10,ckd,ckd,diagnosis
725442,N18.32,"Chronic kidney disease, stage 3b",10,ckd,ckd,diagnosis
725442,N1832,"Chronic kidney disease, stage 3b",10,ckd,ckd,diagnosis
760850,120261000119101,Benign hypertensive heart disease and chronic renal disease stage 5,SM,ckd,ckd,diagnosis
762000,285061000119106,Benign hypertensive heart disease and chronic renal disease stage 2,SM,ckd,ckd,diagnosis
762001,285081000119102,Benign hypertensive heart disease and chronic renal disease stage 3,SM,ckd,ckd,diagnosis
762033,285911000119109,Malignant hypertensive heart disease and chronic renal disease stage 3,SM,ckd,ckd,diagnosis
762034,285921000119102,Malignant hypertensive heart disease and chronic renal disease stage 4,SM,ckd,ckd,diagnosis
762973,434431000124103,Hypertensive end stage renal disease,SM,ckd,ckd,diagnosis
764011,449631000124102,Benign hypertensive heart disease and chronic renal disease,SM,ckd,ckd,diagnosis
765535,285041000119107,Benign hypertensive heart disease and chronic renal disease stage 1,SM,ckd,ckd,diagnosis
765536,285101000119109,Benign hypertensive heart disease and chronic renal disease stage 4,SM,ckd,ckd,diagnosis
1569121,I12,Hypertensive chronic kidney disease,10,ckd,ckd,diagnosis
1569122,I13,Hypertensive heart and chronic kidney disease,10,ckd,ckd,diagnosis
1569123,I13.1,Hypertensive heart and chronic kidney disease without heart failure,10,ckd,ckd,diagnosis
1569123,I131,Hypertensive heart and chronic kidney disease without heart failure,10,ckd,ckd,diagnosis
1571486,N18,Chronic kidney disease (CKD),10,ckd,ckd,diagnosis
1571639,O10.2,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",10,ckd,ckd,diagnosis
1571639,O102,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",10,ckd,ckd,diagnosis
1571640,O10.21,Pre-existing hypertensive chronic kidney disease complicating pregnancy,10,ckd,ckd,diagnosis
1571640,O1021,Pre-existing hypertensive chronic kidney disease complicating pregnancy,10,ckd,ckd,diagnosis
1571641,O10.3,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",10,ckd,ckd,diagnosis
1571641,O103,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",10,ckd,ckd,diagnosis
1571642,O10.31,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,10,ckd,ckd,diagnosis
1571642,O1031,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,10,ckd,ckd,diagnosis
3553407,200431000000108,Chronic kidney disease stage 1,SM,ckd,ckd,diagnosis
3553408,200461000000103,Chronic kidney disease stage 4,SM,ckd,ckd,diagnosis
3553409,200471000000105,Chronic kidney disease stage 5,SM,ckd,ckd,diagnosis
