concept_code,concept_id,vocabulary_id,concept_name
E11.1,45542739,10,"Type 2 diabetes mellitus, with ketoacidosis"
E11.7,45561950,10,"Type 2 diabetes mellitus, with multiple complications"
E11,1567956,10,Type 2 diabetes mellitus
E11.0,1567957,10,Type 2 diabetes mellitus with hyperosmolarity
E11.00,45542738,10,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E11.01,45586139,10,Type 2 diabetes mellitus with hyperosmolarity with coma
E11.2,1567958,10,Type 2 diabetes mellitus with kidney complications
E11.21,45591027,10,Type 2 diabetes mellitus with diabetic nephropathy
E11.22,45595797,10,Type 2 diabetes mellitus with diabetic chronic kidney disease
E11.29,45605401,10,Type 2 diabetes mellitus with other diabetic kidney complication
E11.3,1567959,10,Type 2 diabetes mellitus with ophthalmic complications
E11.31,1567960,10,Type 2 diabetes mellitus with unspecified diabetic retinopathy
E11.311,45581352,10,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
E11.319,45581353,10,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
E11.32,1567961,10,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy
E11.321,45552385,10,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
E11.3211,37200198,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
E11.3212,37200199,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
E11.3213,37200200,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
E11.3219,37200201,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
E11.329,45581354,10,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
E11.3291,37200202,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
E11.3292,37200203,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"
E11.3293,37200204,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
E11.3299,37200205,10,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
E11.33,1567962,10,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy
E11.331,45537961,10,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
E11.3311,37200206,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
E11.3312,37200207,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
E11.3313,37200208,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
E11.3319,37200209,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
E11.339,45591029,10,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
E11.3391,37200210,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
E11.3392,37200211,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
E11.3393,37200212,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
E11.3399,37200213,10,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
E11.34,1567963,10,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy
